Name,Points,Rebounds,Assists,Steals,Blocks,Fouls,Turnovers,Field Goal Made,Field Goal Attempted,3 Point Made,3 Point Attempted,Game Played
Vish,10,21,8,0,6,2,0,5,7,0,0,61
,,,,,,,,,,,,
Kiran,52,3,12,1,1,0,1,23,26,5,5,62
Taser,34,2,2,0,0,0,0,12,20,10,16,62
Random,0,1,3,1,0,1,0,0,0,0,0,62
Nav,7,8,4,0,1,1,1,3,6,1,2,62
Vish,14,28,17,3,2,3,1,7,15,0,0,62
,,,,,,,,,,,,
Kiran,29,3,9,3,0,1,4,14,21,1,5,63
Taser,10,0,3,0,0,1,2,4,8,2,4,63
Nav,11,1,2,0,0,0,3,4,14,3,10,63
Vish,10,8,8,2,1,2,1,4,11,0,0,63
Random,12,19,6,1,3,3,1,6,6,0,0,63
,,,,,,,,,,,,
Kiran,37,4,5,1,0,1,0,16,21,5,6,64
Taser,17,1,6,0,0,0,1,7,13,3,9,64
Nav,13,4,8,1,1,0,2,5,12,3,8,64
Random,5,2,3,3,0,0,1,2,7,1,5,64
Vish,12,30,7,0,1,1,3,6,14,0,0,64
,,,,,,,,,,,,
Kiran,37,4,6,3,1,0,2,15,18,4,4,65
Taser,26,0,2,0,0,0,1,10,17,6,11,65
Nav,14,4,5,4,3,3,2,5,15,1,10,65
Random,4,2,7,1,3,2,3,2,7,0,2,65
Vish,10,21,12,2,2,1,2,5,12,0,0,65
,,,,,,,,,,,,
Kiran,31,2,6,2,0,0,2,13,18,4,4,66
Taser,12,3,3,3,0,0,5,5,11,2,6,66
Nav,8,1,3,0,2,3,4,3,13,2,7,66
Random,4,9,5,0,1,2,0,1,5,0,3,66
Vish,22,24,10,0,0,1,1,11,18,0,0,66
,,,,,,,,,,,,
Random,20,5,3,2,2,1,1,7,11,6,10,67
Kiran,19,4,9,4,0,1,3,9,13,1,1,67
Taser,9,2,2,0,2,1,3,4,7,1,2,67
Nav,18,0,2,0,1,1,4,6,14,6,13,67
Vish,10,12,5,1,3,2,2,5,6,0,0,67
